2023-07-04 09:27:34 startup archives install
2023-07-04 09:27:34 install base-passwd:amd64 <none> 3.6.1
2023-07-04 09:27:34 status half-installed base-passwd:amd64 3.6.1
2023-07-04 09:27:35 status unpacked base-passwd:amd64 3.6.1
2023-07-04 09:27:35 configure base-passwd:amd64 3.6.1 3.6.1
2023-07-04 09:27:35 status half-configured base-passwd:amd64 3.6.1
2023-07-04 09:27:35 status installed base-passwd:amd64 3.6.1
2023-07-04 09:27:35 startup archives install
2023-07-04 09:27:35 install base-files:amd64 <none> 12.4
2023-07-04 09:27:35 status half-installed base-files:amd64 12.4
2023-07-04 09:27:35 status unpacked base-files:amd64 12.4
2023-07-04 09:27:35 configure base-files:amd64 12.4 12.4
2023-07-04 09:27:35 status half-configured base-files:amd64 12.4
2023-07-04 09:27:35 status installed base-files:amd64 12.4
2023-07-04 09:27:35 startup archives install
2023-07-04 09:27:35 upgrade dpkg 1.21.22 1.21.22
2023-07-04 09:27:35 status half-configured dpkg 1.21.22
2023-07-04 09:27:35 status unpacked dpkg 1.21.22
2023-07-04 09:27:35 status half-installed dpkg 1.21.22
2023-07-04 09:27:36 status unpacked dpkg:amd64 1.21.22
2023-07-04 09:27:36 configure dpkg:amd64 1.21.22 1.21.22
2023-07-04 09:27:36 status half-configured dpkg:amd64 1.21.22
2023-07-04 09:27:36 status installed dpkg:amd64 1.21.22
2023-07-04 09:27:36 startup archives install
2023-07-04 09:27:36 install libc6:amd64 <none> 2.36-9
2023-07-04 09:27:36 status half-installed libc6:amd64 2.36-9
2023-07-04 09:27:37 status unpacked libc6:amd64 2.36-9
2023-07-04 09:27:37 configure libc6:amd64 2.36-9 2.36-9
2023-07-04 09:27:37 status half-configured libc6:amd64 2.36-9
2023-07-04 09:27:37 status installed libc6:amd64 2.36-9
2023-07-04 09:27:37 startup archives install
2023-07-04 09:27:37 install perl-base:amd64 <none> 5.36.0-7
2023-07-04 09:27:37 status half-installed perl-base:amd64 5.36.0-7
2023-07-04 09:27:39 status unpacked perl-base:amd64 5.36.0-7
2023-07-04 09:27:39 configure perl-base:amd64 5.36.0-7 5.36.0-7
2023-07-04 09:27:39 status half-configured perl-base:amd64 5.36.0-7
2023-07-04 09:27:39 status installed perl-base:amd64 5.36.0-7
